id_m,id_s
n1,s1-1
n2,s3-1
n4,s5-1
n3,s6-1
n5,s7-1
n6,s8-1
n8,s9-1
n7,s10-1
n9,s11-1
n10,s13-1
n11,s14-1
n12,s15-1
n13,s16-1
n15,s17-1
n14,s18-1
n17,s27-1
n16,s19-1
n18,s20-1
n19,s28-1
n20,s21-1
n21,s22-1
n23,s29-1
n22,s23-1
n24,s24-1
n26,s30-1
n25,s25-1
n27,s26-1
n29,s39-1
n28,s31-1
n30,s32-1
n31,s33-1
n32,s34-1
n34,s40-1
n33,s35-1
n35,s36-1
n36,s37-1
n37,s38-1
n38,s41-1
n40,s43-1
n39,s44-1
n42,s45-1
n41,s46-1
n43,s47-1
n44,s48-1
n45,s49-1
n46,s51-1
n47,s52-1
n49,s53-1
n48,s54-1
n51,s55-1
n50,s56-1
n53,s65-1
n52,s57-1
n54,s58-1
n56,s66-1
n55,s59-1
n57,s60-1
n59,s67-1
n58,s61-1
n60,s62-1
n62,s68-1
n61,s63-1
n63,s64-1
n65,s77-1
n64,s69-1
n66,s70-1
n68,s78-1
n67,s71-1
n69,s72-1
n71,s79-1
n70,s73-1
n72,s74-1
n74,s80-1
n73,s75-1
n75,s76-1
n77,s89-1
n76,s81-1
n78,s82-1
n80,s90-1
n79,s83-1
n81,s84-1
n82,s91-1
n83,s85-1
n84,s86-1
n85,s92-1
n86,s87-1
n87,s88-1
n88,s96-1
n89,s93-1
n90,s97-1
n91,s98-1
n92,s95-1
n97,s107-1
n96,s108-1
n98,s109-1
n95,s99-1
n99,s100-1
n100,s101-1
n101,s102-1
n102,s103-1
n103,s104-1
n104,s105-1
n105,s106-1
n108,s119-1
n106,s120-1
n109,s121-1
n107,s111-1
n110,s112-1
n112,s113-1
n113,s114-1
n114,s115-1
n115,s116-1
n116,s117-1
n117,s118-1
n119,s131-1
n121,s132-1
n120,s133-1
n118,s123-1
n122,s124-1
n123,s125-1
n124,s126-1
n125,s127-1
n126,s128-1
n127,s129-1
n128,s130-1
n131,s143-1
n130,s144-1
n129,s145-1
n132,s135-1
n133,s136-1
n135,s137-1
n136,s138-1
n137,s139-1
n138,s140-1
n139,s141-1
n140,s142-1
n143,s155-1
n141,s156-1
n142,s147-1
n144,s148-1
n145,s149-1
n146,s150-1
n147,s151-1
n148,s152-1
n149,s153-1
n150,s154-1
n151,s165-1
n152,s166-1
n153,s157-1
n154,s158-1
n155,s159-1
n156,s160-1
n159,s167-1
n157,s168-1
n158,s161-1
n160,s162-1
n161,s163-1
n162,s164-1
n165,s177-1
n163,s178-1
n164,s169-1
n166,s170-1
n167,s171-1
n168,s172-1
n169,s173-1
n170,s174-1
n172,s179-1
n173,s180-1
n171,s175-1
n174,s176-1
n175,s185-1
n176,s181-1
n177,s186-1
n178,s187-1
n179,s188-1
n180,s189-1
n181,s183-1
n182,s190-1
n183,s191-1
n184,s184-1
n185,s192-1
n186,s199-1
n187,s193-1
n188,s200-1
n189,s201-1
n190,s194-1
n191,s202-1
n194,s203-1
n193,s195-1
n192,s196-1
n195,s204-1
n196,s205-1
n198,s197-1
n197,s198-1
n199,s206-1
n200,s211-1
n201,s207-1
n202,s208-1
n203,s212-1
n204,s213-1
n205,s214-1
n206,s215-1
n207,s209-1
n208,s216-1
n210,s217-1
n209,s210-1
n212,s218-1
n214,s225-1
n215,s219-1
n216,s226-1
n218,s227-1
n217,s220-1
n220,s228-1
n223,s229-1
n224,s221-1
n222,s222-1
n225,s230-1
n226,s231-1
n228,s223-1
n227,s224-1
n229,s232-1
n232,s237-1
n230,s233-1
n231,s234-1
n233,s236-1
n234,s239-1
n235,s240-1
n236,s241-1
n237,s242-1
n238,s244-1
n240,s250-1
n239,s247-1
n241,s248-1
n244,s251-1
n242,s249-1
n243,s245-1
n245,s252-1
n246,s253-1
n247,s254-1
n248,s255-1
n249,s257-1
n251,s263-1
n250,s260-1
n252,s261-1
n255,s264-1
n253,s262-1
n254,s258-1
n256,s265-1
n257,s266-1
n258,s267-1
n259,s268-1
n260,s270-1
n261,s277-1
n262,s274-1
n263,s275-1
n266,s278-1
n265,s276-1
n264,s272-1
n267,s279-1
n268,s284-1
n269,s285-1
n270,s281-1
n272,s290-1
n271,s286-1
n273,s291-1
n274,s292-1
n276,s288-1
n275,s289-1
n278,s293-1
n277,s294-1
n279,s299-1
n280,s300-1
n282,s296-1
n281,s297-1
n286,s306-1
n285,s307-1
n287,s308-1
n288,s309-1
n289,s310-1
n290,s311-1
n291,s313-1
n292,s314-1
n293,s315-1
n294,s316-1
n295,s317-1
n296,s318-1
n298,s319-1
n297,s320-1
n300,s328-1
n299,s329-1
n301,s330-1
n302,s322-1
n303,s323-1
n304,s331-1
n305,s324-1
n306,s325-1
n308,s332-1
n307,s326-1
n309,s327-1
n311,s341-1
n310,s333-1
n312,s334-1
n313,s342-1
n314,s335-1
n315,s336-1
n316,s343-1
n317,s337-1
n318,s338-1
n319,s344-1
n320,s339-1
n321,s340-1
n322,s353-1
n323,s345-1
n324,s346-1
n325,s354-1
n326,s347-1
n327,s348-1
n328,s355-1
n329,s349-1
n330,s350-1
n331,s356-1
n332,s351-1
n333,s352-1
n334,s364-1
n336,s358-1
n335,s359-1
n337,s365-1
n339,s360-1
n338,s361-1
n341,s362-1
n340,s363-1
n342,s370-1
n343,s366-1
n344,s371-1
n345,s372-1
n346,s373-1
n348,s374-1
n347,s367-1
n349,s368-1
n350,s375-1
n351,s376-1
n352,s377-1
n354,s384-1
n353,s378-1
n355,s379-1
n356,s385-1
n357,s386-1
n358,s387-1
n360,s388-1
n359,s381-1
n361,s382-1
n362,s389-1
n363,s390-1
n364,s391-1
n366,s398-1
n365,s392-1
n367,s393-1
n368,s399-1
n369,s400-1
n370,s401-1
n372,s402-1
n371,s395-1
n373,s396-1
n374,s403-1
n375,s404-1
n376,s397-1
n377,s405-1
n378,s412-1
n379,s406-1
n380,s407-1
n381,s413-1
n382,s414-1
n383,s408-1
n384,s415-1
n385,s416-1
n386,s409-1
n387,s410-1
n388,s417-1
n390,s418-1
n389,s411-1
n392,s419-1
n394,s426-1
n393,s420-1
n395,s421-1
n396,s427-1
n397,s428-1
n398,s429-1
n401,s430-1
n399,s423-1
n400,s424-1
n402,s431-1
n404,s432-1
n403,s425-1
n405,s433-1
n407,s440-1
n406,s434-1
n408,s435-1
n409,s441-1
n411,s442-1
n410,s436-1
n412,s443-1
n414,s444-1
n413,s437-1
n415,s438-1
n416,s445-1
n417,s446-1
n418,s439-1
n419,s447-1
n421,s455-1
n420,s448-1
n422,s449-1
n423,s456-1
n424,s457-1
n425,s458-1
n429,s459-1
n428,s460-1
n426,s461-1
n427,s451-1
n430,s452-1
n431,s453-1
n432,s454-1
n435,s470-1
n434,s471-1
n433,s462-1
n436,s463-1
n437,s464-1
n438,s465-1
n440,s472-1
n441,s473-1
n439,s466-1
n442,s467-1
n443,s468-1
n444,s469-1
n446,s482-1
n445,s474-1
n446a,s483-1
n447,s475-1
n448,s476-1
n450,s477-1
n451,s478-1
n452,s479-1
n453,s480-1
n454,s481-1
n457,s488-1
n456,s489-1
n455,s485-1
n458,s490-1
n460,s491-1
n459,s486-1
n462,s492-1
n461,s487-1
n465,s499-1
n464,s500-1
n463,s493-1
n466,s502-1
n467,s495-1
n468,s503-1
n469,s496-1
n471,s504-1
n470,s497-1
n472,s505-1
n473,s498-1
n474,s514-1
n475,s506-1
n477,s515-1
n476,s507-1
n478,s516-1
n479,s508-1
n480,s517-1
n481,s509-1
n482,s518-1
n483,s510-1
n484,s519-1
n485,s511-1
n487,s520-1
n486,s512-1
n489,s521-1
n488,s513-1
n490,s530-1
n489a,s522-1
n491,s523-1
n492,s524-1
n493,s525-1
n494,s526-1
n495,s527-1
n496,s528-1
n497,s529-1
n498,s535-1
n500,s536-1
n499,s532-1
n502,s537-1
n503,s538-1
n501,s533-1
n505,s539-1
n504,s534-1
n508,s546-1
n506,s547-1
n507,s540-1
n509,s549-1
n510,s542-1
n512,s550-1
n511,s543-1
n514,s551-1
n513,s544-1
n515,s552-1
n516,s545-1
n517,s561-1
n518,s553-1
n520,s562-1
n519,s554-1
n522,s563-1
n521,s555-1
n524,s564-1
n523,s556-1
n526,s565-1
n525,s557-1
n528,s566-1
n527,s558-1
n530,s567-1
n529,s559-1
n532,s568-1
n531,s560-1
n534,s577-1
n533,s569-1
n535,s570-1
n536,s571-1
n537,s572-1
n540,s578-1
n539,s579-1
n538,s573-1
n541,s574-1
n542,s575-1
n543,s576-1
n544,s588-1
n545,s589-1
n546,s580-1
n547,s581-1
n548,s582-1
n549,s583-1
n553,s590-1
n552,s591-1
n551,s592-1
n550,s584-1
n554,s585-1
n555,s586-1
n556,s587-1
n559,s595-1
n558,s596-1
n557,s593-1
n560,s1-2
n561,s3-2
n563,s5-2
n562,s6-2
n564,s7-2
n565,s8-2
n567,s9-2
n566,s10-2
n568,s11-2
n569,s13-2
n570,s14-2
n571,s15-2
n572,s16-2
n574,s17-2
n573,s18-2
n576,s27-2
n575,s19-2
n577,s20-2
n578,s28-2
n579,s21-2
n580,s22-2
n582,s29-2
n581,s23-2
n583,s24-2
n585,s30-2
n584,s25-2
n586,s26-2
n588,s39-2
n587,s31-2
n589,s32-2
n590,s33-2
n591,s34-2
n593,s40-2
n592,s35-2
n594,s36-2
n595,s37-2
n596,s38-2
n597,s41-2
n599,s43-2
n598,s44-2
n601,s45-2
n600,s46-2
n602,s47-2
n603,s48-2
n604,s49-2
n605,s51-2
n606,s52-2
n608,s53-2
n607,s54-2
n610,s55-2
n609,s56-2
n612,s65-2
n611,s57-2
n613,s58-2
n615,s66-2
n614,s59-2
n616,s60-2
n618,s67-2
n617,s61-2
n619,s62-2
n621,s68-2
n620,s63-2
n622,s64-2
n624,s77-2
n623,s69-2
n625,s70-2
n627,s78-2
n626,s71-2
n628,s72-2
n630,s79-2
n629,s73-2
n631,s74-2
n633,s80-2
n632,s75-2
n634,s76-2
n636,s89-2
n635,s81-2
n637,s82-2
n639,s90-2
n638,s83-2
n640,s84-2
n641,s91-2
n642,s85-2
n643,s86-2
n644,s92-2
n645,s87-2
n646,s88-2
n647,s96-2
n648,s93-2
n649,s97-2
n650,s98-2
n651,s95-2
n656,s107-2
n655,s108-2
n657,s109-2
n654,s99-2
n658,s100-2
n659,s101-2
n660,s102-2
n661,s103-2
n662,s104-2
n663,s105-2
n664,s106-2
n667,s119-2
n665,s120-2
n668,s121-2
n666,s111-2
n669,s112-2
n671,s113-2
n672,s114-2
n673,s115-2
n674,s116-2
n675,s117-2
n676,s118-2
n678,s131-2
n680,s132-2
n679,s133-2
n677,s123-2
n681,s124-2
n682,s125-2
n683,s126-2
n684,s127-2
n685,s128-2
n686,s129-2
n687,s130-2
n690,s143-2
n689,s144-2
n688,s145-2
n691,s135-2
n692,s136-2
n694,s137-2
n695,s138-2
n696,s139-2
n697,s140-2
n698,s141-2
n699,s142-2
n702,s155-2
n700,s156-2
n701,s147-2
n703,s148-2
n704,s149-2
n705,s150-2
n706,s151-2
n707,s152-2
n708,s153-2
n709,s154-2
n710,s165-2
n711,s166-2
n712,s157-2
n713,s158-2
n714,s159-2
n715,s160-2
n718,s167-2
n716,s168-2
n717,s161-2
n719,s162-2
n720,s163-2
n721,s164-2
n724,s177-2
n722,s178-2
n723,s169-2
n725,s170-2
n726,s171-2
n727,s172-2
n728,s173-2
n729,s174-2
n731,s179-2
n732,s180-2
n730,s175-2
n733,s176-2
n734,s185-2
n735,s181-2
n736,s186-2
n737,s187-2
n738,s188-2
n739,s189-2
n740,s183-2
n741,s190-2
n742,s191-2
n743,s184-2
n744,s192-2
n745,s199-2
n746,s193-2
n747,s200-2
n748,s201-2
n749,s194-2
n750,s202-2
n753,s203-2
n752,s195-2
n751,s196-2
n754,s204-2
n755,s205-2
n757,s197-2
n756,s198-2
n758,s206-2
n759,s211-2
n760,s207-2
n761,s208-2
n762,s212-2
n763,s213-2
n764,s214-2
n765,s215-2
n766,s209-2
n767,s216-2
n769,s217-2
n768,s210-2
n771,s218-2
n773,s225-2
n774,s219-2
n775,s226-2
n777,s227-2
n776,s220-2
n779,s228-2
n782,s229-2
n783,s221-2
n781,s222-2
n784,s230-2
n785,s231-2
n787,s223-2
n786,s224-2
n788,s232-2
n791,s237-2
n789,s233-2
n790,s234-2
n792,s236-2
n793,s239-2
n794,s240-2
n795,s241-2
n796,s242-2
n797,s244-2
n799,s250-2
n798,s247-2
n800,s248-2
n803,s251-2
n801,s249-2
n802,s245-2
n804,s252-2
n805,s253-2
n806,s254-2
n807,s255-2
n808,s257-2
n810,s263-2
n809,s260-2
n811,s261-2
n814,s264-2
n812,s262-2
n813,s258-2
n815,s265-2
n816,s266-2
n817,s267-2
n818,s268-2
n819,s270-2
n820,s277-2
n821,s274-2
n822,s275-2
n825,s278-2
n824,s276-2
n823,s272-2
n826,s279-2
n827,s284-2
n828,s285-2
n829,s281-2
n831,s290-2
n830,s286-2
n832,s291-2
n833,s292-2
n835,s288-2
n834,s289-2
n837,s293-2
n836,s294-2
n838,s299-2
n839,s300-2
n841,s296-2
n840,s297-2
n845,s306-2
n844,s307-2
n846,s308-2
n847,s309-2
n848,s310-2
n849,s311-2
n850,s313-2
n851,s314-2
n852,s315-2
n853,s316-2
n854,s317-2
n855,s318-2
n857,s319-2
n856,s320-2
n859,s328-2
n858,s329-2
n860,s330-2
n861,s322-2
n862,s323-2
n863,s331-2
n864,s324-2
n865,s325-2
n867,s332-2
n866,s326-2
n868,s327-2
n870,s341-2
n869,s333-2
n871,s334-2
n872,s342-2
n873,s335-2
n874,s336-2
n875,s343-2
n876,s337-2
n877,s338-2
n878,s344-2
n879,s339-2
n880,s340-2
n881,s353-2
n882,s345-2
n883,s346-2
n884,s354-2
n885,s347-2
n886,s348-2
n887,s355-2
n888,s349-2
n889,s350-2
n890,s356-2
n891,s351-2
n892,s352-2
n893,s364-2
n895,s358-2
n894,s359-2
n896,s365-2
n898,s360-2
n897,s361-2
n900,s362-2
n899,s363-2
n901,s370-2
n902,s366-2
n903,s371-2
n904,s372-2
n905,s373-2
n907,s374-2
n906,s367-2
n908,s368-2
n909,s375-2
n910,s376-2
n911,s377-2
n913,s384-2
n912,s378-2
n914,s379-2
n915,s385-2
n916,s386-2
n917,s387-2
n919,s388-2
n918,s381-2
n920,s382-2
n921,s389-2
n922,s390-2
n923,s391-2
n925,s398-2
n924,s392-2
n926,s393-2
n927,s399-2
n928,s400-2
n929,s401-2
n931,s402-2
n930,s395-2
n932,s396-2
n933,s403-2
n934,s404-2
n935,s397-2
n936,s405-2
n937,s412-2
n938,s406-2
n939,s407-2
n940,s413-2
n941,s414-2
n942,s408-2
n943,s415-2
n944,s416-2
n945,s409-2
n946,s410-2
n947,s417-2
n949,s418-2
n948,s411-2
n951,s419-2
n953,s426-2
n952,s420-2
n954,s421-2
n955,s427-2
n956,s428-2
n957,s429-2
n960,s430-2
n958,s423-2
n959,s424-2
n961,s431-2
n963,s432-2
n962,s425-2
n964,s433-2
n966,s440-2
n965,s434-2
n967,s435-2
n968,s441-2
n970,s442-2
n969,s436-2
n971,s443-2
n973,s444-2
n972,s437-2
n974,s438-2
n975,s445-2
n976,s446-2
n977,s439-2
n978,s447-2
n980,s455-2
n979,s448-2
n981,s449-2
n982,s456-2
n983,s457-2
n984,s458-2
n988,s459-2
n987,s460-2
n985,s461-2
n986,s451-2
n989,s452-2
n990,s453-2
n991,s454-2
n994,s470-2
n993,s471-2
n992,s462-2
n995,s463-2
n996,s464-2
n997,s465-2
n999,s472-2
n1000,s473-2
n998,s466-2
n1001,s467-2
n1002,s468-2
n1003,s469-2
n1005,s482-2
n1005a,s483-2
n1004,s474-2
n1006,s475-2
n1007,s476-2
n1009,s477-2
n1010,s478-2
n1011,s479-2
n1012,s480-2
n1013,s481-2
n1016,s488-2
n1015,s489-2
n1014,s485-2
n1017,s490-2
n1019,s491-2
n1018,s486-2
n1021,s492-2
n1020,s487-2
n1024,s499-2
n1023,s500-2
n1022,s493-2
n1025,s502-2
n1026,s495-2
n1027,s503-2
n1028,s496-2
n1030,s504-2
n1029,s497-2
n1031,s505-2
n1032,s498-2
n1033,s514-2
n1034,s506-2
n1036,s515-2
n1035,s507-2
n1037,s516-2
n1038,s508-2
n1039,s517-2
n1040,s509-2
n1041,s518-2
n1042,s510-2
n1043,s519-2
n1044,s511-2
n1046,s520-2
n1045,s512-2
n1048,s521-2
n1047,s513-2
n1049,s530-2
n1048a,s522-2
n1050,s523-2
n1051,s524-2
n1052,s525-2
n1053,s526-2
n1054,s527-2
n1055,s528-2
n1056,s529-2
n1057,s535-2
n1059,s536-2
n1058,s532-2
n1061,s537-2
n1062,s538-2
n1060,s533-2
n1064,s539-2
n1063,s534-2
n1067,s546-2
n1065,s547-2
n1066,s540-2
n1068,s549-2
n1069,s542-2
n1071,s550-2
n1070,s543-2
n1073,s551-2
n1072,s544-2
n1074,s552-2
n1075,s545-2
n1076,s561-2
n1077,s553-2
n1079,s562-2
n1078,s554-2
n1081,s563-2
n1080,s555-2
n1083,s564-2
n1082,s556-2
n1085,s565-2
n1084,s557-2
n1087,s566-2
n1086,s558-2
n1089,s567-2
n1088,s559-2
n1091,s568-2
n1090,s560-2
n1093,s577-2
n1092,s569-2
n1094,s570-2
n1095,s571-2
n1096,s572-2
n1099,s578-2
n1098,s579-2
n1097,s573-2
n1100,s574-2
n1101,s575-2
n1102,s576-2
n1103,s588-2
n1104,s589-2
n1105,s580-2
n1106,s581-2
n1107,s582-2
n1108,s583-2
n1112,s590-2
n1111,s591-2
n1110,s592-2
n1109,s584-2
n1113,s585-2
n1114,s586-2
n1115,s587-2
n1118,s595-2
n1117,s596-2
n1116,s593-2
n1120,s598-1
n1121,s600-1
n1122,s601-1
n1123,s602-1
n1124,s603-1
n1125,s605-1
n1127,s608-1
n1126,s609-1
n1129,s610-1
n1128,s611-1
n1132,s612-1
n1131,s613-1
n1130,s606-1
n1133,s614-1
n1134,s615-1
n1135,s616-1
n1136,s617-1
n1137,s619-1
n1138,s622-1
n1139,s623-1
n1141,s624-1
n1140,s625-1
n1144,s626-1
n1143,s627-1
n1142,s620-1
n1147,s632-1
n1146,s633-1
n1145,s628-1
n1148,s629-1
n1151,s634-1
n1150,s635-1
n1149,s630-1
n1152,s631-1
n1153,s642-1
n1154,s636-1
n1155,s639-1
n1156,s640-1
n1159,s644-1
n1157,s641-1
n1158,s637-1
n1160,s646-1
n1161,s647-1
n1162,s648-1
n1163,s649-1
n1164,s657-1
n1166,s651-1
n1165,s652-1
n1167,s653-1
n1168,s654-1
n1171,s658-1
n1170,s655-1
n1169,s656-1
n1172,s660-1
n1173,s661-1
n1174,s662-1
n1175,s663-1
n1176,s671-1
n1177,s665-1
n1178,s666-1
n1179,s667-1
n1180,s668-1
n1183,s672-1
n1182,s669-1
n1181,s670-1
n1184,s674-1
n1185,s675-1
n1186,s676-1
n1187,s677-1
n1188,s685-1
n1189,s679-1
n1190,s680-1
n1192,s681-1
n1191,s682-1
n1193,s686-1
n1195,s683-1
n1194,s684-1
n1197,s692-1
n1196,s693-1
n1198,s688-1
n1199,s689-1
n1200,s690-1
n1202,s695-1
n1203,s696-1
n1201,s691-1
n1205,s702-1
n1204,s703-1
n1206,s698-1
n1207,s699-1
n1208,s700-1
n1209,s705-1
n1211,s706-1
n1210,s701-1
n1212,s712-1
n1213,s713-1
n1214,s708-1
n1215,s709-1
n1216,s710-1
n1217,s715-1
n1218,s711-1
n1221,s724-1
n1222,s725-1
n1220,s717-1
n1224,s726-1
n1223,s718-1
n1225,s719-1
n1227,s727-1
n1226,s720-1
n1228,s721-1
n1231,s729-1
n1229,s728-1
n1230,s722-1
n1232,s723-1
n1234a,s742-1
n1234,s738-1
n1233,s730-1
n1235,s731-1
n1236,s739-1
n1237,s732-1
n1238,s733-1
n1240,s740-1
n1239,s734-1
n1241,s735-1
n1244,s743-1
n1243,s741-1
n1242,s736-1
n1246,s737-1
n1248a,s756-1
n1248,s752-1
n1247,s744-1
n1249,s745-1
n1250,s753-1
n1251,s746-1
n1252,s747-1
n1253,s754-1
n1254,s748-1
n1256,s749-1
n1257,s755-1
n1258,s750-1
n1259,s751-1
n1260,s760-1
n1262,s761-1
n1261,s757-1
n1264,s762-1
n1266,s763-1
n1265,s758-1
n1263,s759-1
n1269,s767-1
n1270,s768-1
n1268,s764-1
n1271,s766-1
n1272,s770-1
n1274,s772-1
n1273,s773-1
n1275,s774-1
n1276,s775-1
n1277,s776-1
n1278,s777-1
n1279,s778-1
n1281,s780-1
n1280,s781-1
n1283,s783-1
n1285,s784-1
n1284,s785-1
n1286,s793-1
n1287,s794-1
n1288,s786-1
n1289,s787-1
n1290,s788-1
n1291,s789-1
n1292,s790-1
n1293,s791-1
n1294,s792-1
n1297,s802-1
n1295,s803-1
n1296,s795-1
n1298,s796-1
n1299,s797-1
n1300,s798-1
n1301,s799-1
n1302,s800-1
n1303,s801-1
n1304,s805-1
n1306,s806-1
n1305,s804-1
n1307,s807-1
n1308,s808-1
n1310,s809-1
n1309,s810-1
n1312,s811-1
n1311,s812-1
n1313,s813-1
n1315,s815-1
n1314,s816-1
n1316,s817-1
n1317,s818-1
n1319,s819-1
n1318,s820-1
n1322,s828-1
n1320,s829-1
n1321,s821-1
n1323,s822-1
n1324,s823-1
n1325,s824-1
n1326,s825-1
n1327,s826-1
n1328,s827-1
n1330,s837-1
n1331,s838-1
n1329,s830-1
n1332,s831-1
n1333,s832-1
n1334,s833-1
n1335,s834-1
n1336,s835-1
n1337,s836-1
n1339,s840-1
n1340,s841-1
n1338,s839-1
n1341,s842-1
n1342,s843-1
n1343,s844-1
n1344,s845-1
n1345,s846-1
n1346,s847-1
n1347,s851-1
n1348,s853-1
n1349,s854-1
n1351,s855-1
n1350,s856-1
n1353,s857-1
n1352,s858-1
n1354,s850-1
n1355,s859-1
n1356,s860-1
n1358,s862-1
n1357,s863-1
n1360,s864-1
n1359,s865-1
n1361,s866-1
n1362,s867-1
n1363,s868-1
n1364,s870-1
n1365,s871-1
n1366,s872-1
n1367,s873-1
n1369,s874-1
n1368,s875-1
n1370,s884-1
n1371,s876-1
n1372,s877-1
n1373,s885-1
n1374,s878-1
n1375,s879-1
n1377,s886-1
n1376,s880-1
n1378,s881-1
n1380,s887-1
n1379,s882-1
n1381,s883-1
n1383,s896-1
n1382,s888-1
n1384,s889-1
n1385,s890-1
n1386,s891-1
n1388,s897-1
n1387,s892-1
n1389,s893-1
n1390,s894-1
n1391,s895-1
n1393,s905-1
n1392,s906-1
n1395,s899-1
n1394,s900-1
n1397,s901-1
n1396,s902-1
n1399,s903-1
n1398,s904-1
n1400,s914-1
n1401,s915-1
n1403,s908-1
n1402,s909-1
n1405,s910-1
n1404,s911-1
n1407,s912-1
n1406,s913-1
n1408,s920-1
n1409,s916-1
n1410,s921-1
n1411,s922-1
n1412,s917-1
n1413,s923-1
n1414,s924-1
n1415,s918-1
n1416,s925-1
n1417,s926-1
n1418,s919-1
n1419,s927-1
n1420,s936-1
n1421,s928-1
n1422,s929-1
n1424,s937-1
n1423,s930-1
n1425,s931-1
n1427,s938-1
n1426,s932-1
n1428,s933-1
n1430,s939-1
n1429,s934-1
n1431,s935-1
n1433,s948-1
n1432,s940-1
n1434,s941-1
n1435,s949-1
n1436,s942-1
n1437,s943-1
n1439,s950-1
n1438,s944-1
n1440,s945-1
n1442,s951-1
n1441,s946-1
n1443,s947-1
n1445,s955-1
n1444,s952-1
n1446,s956-1
n1447,s957-1
n1448,s954-1
n1451,s966-1
n1452,s967-1
n1453,s968-1
n1454,s958-1
n1455,s959-1
n1456,s960-1
n1457,s961-1
n1458,s962-1
n1459,s963-1
n1460,s964-1
n1461,s965-1
n1465,s978-1
n1464,s979-1
n1463,s980-1
n1462,s970-1
n1466,s971-1
n1467,s972-1
n1468,s973-1
n1469,s974-1
n1470,s975-1
n1471,s976-1
n1472,s977-1
n1475,s990-1
n1474,s991-1
n1473,s992-1
n1476,s982-1
n1477,s983-1
n1478,s984-1
n1479,s985-1
n1480,s986-1
n1481,s987-1
n1482,s988-1
n1483,s989-1
n1484,s1002-1
n1487,s1003-1
n1486,s1004-1
n1485,s994-1
n1488,s995-1
n1489,s996-1
n1490,s997-1
n1491,s998-1
n1492,s999-1
n1493,s1000-1
n1494,s1001-1
n1495,s1014-1
n1496,s1015-1
n1497,s1006-1
n1498,s1007-1
n1499,s1008-1
n1500,s1009-1
n1501,s1010-1
n1502,s1011-1
n1503,s1012-1
n1504,s1013-1
n1507,s1025-1
n1506,s1026-1
n1505,s1017-1
n1508,s1018-1
n1509,s1019-1
n1510,s1020-1
n1511,s1021-1
n1512,s1022-1
n1513,s1023-1
n1514,s1024-1
n1515,s1036-1
n1517,s1037-1
n1516,s1028-1
n1518,s1029-1
n1519,s1030-1
n1520,s1031-1
n1521,s1032-1
n1522,s1033-1
n1524,s1038-1
n1525,s1039-1
n1523,s1034-1
n1526,s1035-1
n1528,s1044-1
n1527,s1040-1
n1529,s1045-1
n1530,s1046-1
n1531,s1047-1
n1533,s1048-1
n1532,s1042-1
n1534,s1049-1
n1535,s1050-1
n1536,s1043-1
n1537,s1051-1
n1538,s1058-1
n1539,s1052-1
n1540,s1059-1
n1542,s1060-1
n1541,s1053-1
n1543,s1061-1
n1545,s1062-1
n1544,s1054-1
n1546,s1055-1
n1547,s1063-1
n1548,s1064-1
n1550,s1056-1
n1549,s1057-1
n1551,s1065-1
n1554,s1071-1
n1553,s1066-1
n1552,s1067-1
n1555,s1072-1
